country,region,city_name,population,area_km2,density,total_sample,bike_prop,bike_share_pct,total_cycle_km,total_road_km,off_road_km,segregated_wide_km,segregated_narrow_km,segregated_km,painted_km,shared_footway_km,high_los_km,cycle_km_per_1000,segregated_pct_network,painted_pct_network,off_road_pct_network,shared_pct_network,high_los_pct_network
Cyprus,Southern,Lefkosia,239277,20.49,11677.74524158126,846,0.10098422429358775,10.098422429358775,18.14,337.75,7.02,0.26,5.29,5.55,2.07,3.49,238.32,0.07581171612816945,1.6432272390821614,0.6128793486306439,2.078460399703923,1.0333086602516655,70.56106587712806
France,Western,Marseille,959095,242.12,3961.2382289773664,855.0000000000009,0.1007019645562807,10.07019645562807,180.16,3083.61,31.87,7,76.32,83.32,51.1,13.86,2308.23,0.18784374853377403,2.702027818044435,1.6571486018011357,1.0335288833542504,0.44947318240633544,74.85479681282652
Malta,Southern,Valletta,256507,0.84,305365.4761904762,864,0.10022903532733515,10.022903532733515,0.01,21.08,0,0,0,0,0,0.01,16.3,3.8985290849762386e-5,0,0,0,0.04743833017077799,77.32447817836812
United Kingdom,Northern,Tyneside,852289,85.24,9998.697794462694,840.000000000001,0.0993279188010449,9.93279188010449,143.1,1178.91,56.32,5.43,25.47,30.9,7.3,48.57,867.44,0.16790079421416915,2.6210652212637093,0.6192160555089022,4.7772942803097775,4.119907372064025,73.57983221789618
United Kingdom,Northern,Belfast,486000,106.9,4546.304957904584,838.9999999999994,0.09638196094318607,9.638196094318607,164.72,1551.77,78.16,1.34,15.37,16.71,52.35,17.51,1231.37,0.3389300411522634,1.0768348402147225,3.373566959020989,5.03682891150106,1.128388872062226,79.35261024507497
Poland,Eastern,Gdańsk,470805,396.1,1188.6013632920979,848.0000000000001,0.09427387672285506,9.427387672285507,267.6,2735.48,96,28.41,60.12,88.53,38.58,44.49,2076.3,0.5683881861917355,3.236360711831196,1.4103557693713717,3.509438928451314,1.6264056034041559,75.90258382441108
Italy,Southern,Napoli,2812922,118.62,23713.724498398245,864,0.09328636922867904,9.328636922867904,20.05,1890.4,1.86,0,9.41,9.41,3.68,5.1,1251.63,0.007127819399187038,0.4977782479898434,0.1946677951756242,0.0983918747355057,0.26978417266187044,66.20979686838764
Latvia,Northern,Riga,614618,304.14,2020.839087262445,860.0000000000009,0.09256425679117747,9.256425679117747,157.51,3362.72,72.46,5.07,47.83,52.9,10.3,21.85,2320.54,0.25627300209235654,1.5731312746824,0.3062996621782367,2.154803254508255,0.6497716134557739,69.00782699719275
Czech Republic,Eastern,Praha,1335084,496.27,2690.23716928285,854.9999999999993,0.09251232397065422,9.251232397065422,686.88,5418.01,299.25,1.21,13.64,14.850000000000001,271.99,100.79,3639.08,0.5144844818752977,0.27408587285737757,5.020108859156775,5.523245619701698,1.8602771128144835,67.16635812779968
Portugal,Southern,Lisboa,1861485,86.85,21433.333333333336,856.9999999999989,0.09227532010914015,9.227532010914015,250.11,1853.27,86.78,17.55,71.66,89.21,56.95,17.16,1218.94,0.13436047026970405,4.813653703993482,3.072946737388508,4.682534115374446,0.925930922099856,65.77239150258733
Romania,Eastern,Bucureşti,2158169,239.05,9028.107090566826,861,0.09122362641600033,9.122362641600033,92.24,4101.75,38.96,3.87,21.73,25.6,13.8,13.87,2964.44,0.04273993371232744,0.6241238495764003,0.3364417626622783,0.9498384835740842,0.33814835131346377,72.2725665874322
Montenegro,Southern,Podgorica,191637,97.55,1964.5002562788313,866,0.09079440580362497,9.079440580362498,27.68,882.42,8.43,1.41,17.22,18.63,0,0.62,693.03,0.14443974806535273,2.1112395457945197,0,0.955327395117971,0.07026132680582943,78.53743115523221
Hungary,Eastern,Budapest,1723836,526.01,3277.19244881276,852.0000000000006,0.08699605772966905,8.699605772966905,485.55,6646.49,97.48,18.14,80.43,98.57000000000001,246.56,42.93,4777.75,0.28166832575720663,1.4830384157653138,3.7096271866804886,1.466638782274554,0.6459048309709335,71.88380633988767
Hungary,Eastern,Miskolc,150695,236.54,637.0804092331107,856.9999999999995,0.08490907463047784,8.490907463047783,50.18,1042.81,19.73,0.03,7.9,7.930000000000001,18.81,3.7,806.67,0.33299047745446103,0.7604453352000845,1.8037801708844372,1.8920033371371583,0.3548105599294215,77.35541469682876
Estonia,Northern,Tallinn,438341,159.48,2748.56408327063,854.9999999999994,0.08490898639550339,8.49089863955034,450.71,2201.4,214.16,5.02,22.5,27.52,30.12,178.92,1515.87,1.0282177574080453,1.2501135640955754,1.36822022349414,9.728354683383301,8.12755519215045,68.85936222403924
Greece,Southern,Athina,3328944,998.63,3333.5109099466267,860.9999999999994,0.08362050378293129,8.362050378293128,181.95,11541.67,90.44,6.5,43.87,50.37,20.25,20.9,8226.53,0.05465697230112612,0.43641864652169055,0.1754512128660757,0.7835954415608833,0.1810829801926411,71.27677363847694
Romania,Eastern,Cluj-Napoca,327927,174.88,1875.1543915827997,891.9999999999999,0.08341711567934525,8.341711567934524,75.61,1033.18,21.41,2.1,27.8,29.900000000000002,20.98,3.32,803.28,0.23056960847993607,2.8939778160630287,2.0306238990301786,2.0722429779902822,0.32133800499428944,77.74831103970266
Turkey,Southern,Ankara,5037902,1991.08,2530.2358518994715,848.0000000000003,0.08225388645045408,8.225388645045408,73.64,9550.97,35.42,2.04,20.94,22.98,11.37,3.86,5659.67,0.014617195808890288,0.24060383395613222,0.11904550009056672,0.3708523846269018,0.04041474321456355,59.2575413806137
Bulgaria,Eastern,Sofia,1308412,454.14,2881.076320077509,853,0.08088725886284699,8.0887258862847,191.7,3865.82,91.54,1.13,34.26,35.39,38.51,26.26,2811.16,0.1465134835204813,0.9154590746594512,0.9961664019535311,2.367932288621819,0.6792866713918392,72.71833660129028
Belgium,Western,Liège,406751,68.48,5939.705023364486,852.0000000000003,0.07765607091427967,7.765607091427968,145.11,912.94,60,4.03,7.28,11.31,36.45,37.36,535.48,0.3567538862842378,1.2388546892457335,3.9925953512826693,6.57217341774925,4.092273314785199,58.65445702893947
Spain,Southern,Madrid,5055735,604.77,8359.76486928915,860.9999999999999,0.07021821343514476,7.021821343514476,707.55,6523.35,284.03,14.44,140.58,155.02,212.57,55.94,3779.31,0.13994997759969618,2.376386365900956,3.2586017920240367,4.35405121601631,0.857534855557344,57.93511002782312
Turkey,Southern,Istanbul,22439562,1991.83,11265.801800354448,852.9999999999993,0.06999523749772428,6.999523749772428,360.78,16418.11,124.12,1.49,69.55,71.03999999999999,147.44,18.17,10170.61,0.016077853926025825,0.43269292263238573,0.898032721184107,0.7559944475947596,0.11067047303252324,61.947507965289546
Turkey,Southern,Diyarbakir,1146356,1996.94,574.0563061484071,872.0000000000001,0.06790872227678217,6.790872227678217,13.5,3337.27,2.32,0,11.18,11.18,0,0,1618.33,0.011776446409317874,0.33500435985101595,0,0.06951789936085483,0,48.4926302037294
Lithuania,Northern,Vilnius,569902,396.77,1436.3535549562719,845.9999999999998,0.0631629065231792,6.31629065231792,316.32,3762.07,142.85,15.8,66.36,82.16,6.91,84.4,2846.43,0.555042796831736,2.1839040740868723,0.1836754765328662,3.7971116964862426,2.243445762572201,75.66127158718471
Serbia,Southern,Beograd,1567010,388.88,4029.546389631763,865,0.060945522315084405,6.09455223150844,158.03,3596.03,62.48,8.5,43.05,51.55,15,29,2383.33,0.1008481120094958,1.4335253042939018,0.41712666468299764,1.737471600626246,0.8064448850537954,66.27669958259524
Italy,Southern,Roma,2783809,1260.09,2209.2144211921373,855.000000000001,0.05388955350112106,5.388955350112106,397.46,10380.51,196.06,9.89,86.39,96.28,32.69,72.44,6154.54,0.14277559990645908,0.9275074153389381,0.3149170898154329,1.8887318638486934,0.6978462522554286,59.28937980889185
